plate_well,primer_combi
GF_plate1_COL_1&2_C3,m703m14
GF_plate1_COL_1&2_D3,m703m15
GF_plate1_COL_1&2_E3,m703m26
GF_plate1_COL_1&2_F3,m703m27
GF_plate1_COL_1&2_G3,m703m38
GF_plate1_COL_1&2_H3,m703m39
GF_plate1_COL_1&2_I3,m703m50
GF_plate1_COL_1&2_J3,m703m51
GF_plate1_COL_1&2_K3,m703m62
GF_plate1_COL_1&2_L3,m703m63
GF_plate1_COL_1&2_M3,m703m74
GF_plate1_COL_1&2_N3,m703m75
GF_plate1_COL_1&2_O3,m703m86
GF_plate1_COL_1&2_P3,m703m87
GF_plate1_COL_1&2_A4,m704m2
GF_plate1_COL_1&2_B4,m704m3
GF_plate1_COL_1&2_C4,m704m14
GF_plate1_COL_1&2_D4,m704m15
GF_plate1_COL_1&2_E4,m704m26
GF_plate1_COL_1&2_F4,m704m27
GF_plate1_COL_1&2_G4,m704m38
GF_plate1_COL_1&2_H4,m704m39
GF_plate1_COL_1&2_I4,m704m50
GF_plate1_COL_1&2_J4,m704m51
GF_plate1_COL_1&2_K4,m704m62
GF_plate1_COL_1&2_L4,m704m63
GF_plate1_COL_1&2_M4,m704m74
GF_plate1_COL_1&2_N4,m704m75
GF_plate1_COL_1&2_O4,m704m86
GF_plate1_COL_1&2_P4,m704m87
GF_plate1_COL_1&2_A5,m705m2
GF_plate1_COL_1&2_B5,m705m3
GF_plate1_COL_1&2_C5,m705m14
GF_plate1_COL_1&2_D5,m705m15
GF_plate1_COL_1&2_E5,m705m26
GF_plate1_COL_1&2_F5,m705m27
GF_plate1_COL_1&2_G5,m705m38
GF_plate1_COL_1&2_H5,m705m39
GF_plate1_COL_1&2_I5,m705m50
GF_plate1_COL_1&2_J5,m705m51
GF_plate1_COL_1&2_K5,m705m62
GF_plate1_COL_1&2_L5,m705m63
GF_plate1_COL_1&2_M5,m705m74
GF_plate1_COL_1&2_N5,m705m75
GF_plate1_COL_1&2_O5,m705m86
GF_plate1_COL_1&2_P5,m705m87
GF_plate1_COL_1&2_A6,m706m2
GF_plate1_COL_1&2_B6,m706m3
GF_plate1_COL_1&2_C6,m706m14
GF_plate1_COL_1&2_D6,m706m15
GF_plate1_COL_1&2_E6,m706m26
GF_plate1_COL_1&2_F6,m706m27
GF_plate1_COL_1&2_G6,m706m38
GF_plate1_COL_1&2_H6,m706m39
GF_plate1_COL_1&2_I6,m706m50
GF_plate1_COL_1&2_J6,m706m51
GF_plate1_COL_1&2_K6,m706m62
GF_plate1_COL_1&2_L6,m706m63
GF_plate1_COL_1&2_M6,m706m74
GF_plate1_COL_1&2_N6,m706m75
GF_plate1_COL_1&2_O6,m706m86
GF_plate1_COL_1&2_P6,m706m87
GF_plate1_COL_1&2_A7,m707m2
GF_plate1_COL_1&2_B7,m707m3
GF_plate1_COL_1&2_C7,m707m14
GF_plate1_COL_1&2_D7,m707m15
GF_plate1_COL_1&2_E7,m707m26
GF_plate1_COL_1&2_F7,m707m27
GF_plate1_COL_1&2_G7,m707m38
GF_plate1_COL_1&2_H7,m707m39
GF_plate1_COL_1&2_I7,m707m50
GF_plate1_COL_1&2_J7,m707m51
GF_plate1_COL_1&2_K7,m707m62
