sample;genome;spike-ins;timepoint;library
GRCh38_ERCC92_velo_CMdiff_d10_820_Z31-S5_E22;GRCh38;ERCC92;d10;820
GRCh38_ERCC92_velo_CMdiff_d10_820_Z31-S5_B3;GRCh38;ERCC92;d10;820
GRCh38_ERCC92_velo_CMdiff_d10_820_Z31-S5_F2;GRCh38;ERCC92;d10;820
GRCh38_ERCC92_velo_CMdiff_d10_820_Z31-S5_O15;GRCh38;ERCC92;d10;820
GRCh38_ERCC92_velo_CMdiff_d10_820_Z31-S5_B19;GRCh38;ERCC92;d10;820
GRCh38_ERCC92_velo_CMdiff_d10_820_Z31-S5_M16;GRCh38;ERCC92;d10;820
GRCh38_ERCC92_velo_CMdiff_d10_820_Z31-S5_P18;GRCh38;ERCC92;d10;820
GRCh38_ERCC92_velo_CMdiff_d10_820_Z31-S5_H18;GRCh38;ERCC92;d10;820
GRCh38_ERCC92_velo_CMdiff_d10_820_Z31-S5_C5;GRCh38;ERCC92;d10;820
GRCh38_ERCC92_velo_CMdiff_d10_820_Z31-S5_M23;GRCh38;ERCC92;d10;820
GRCh38_ERCC92_velo_CMdiff_d10_820_Z31-S5_N17;GRCh38;ERCC92;d10;820
GRCh38_ERCC92_velo_CMdiff_d10_820_Z31-S5_D21;GRCh38;ERCC92;d10;820
GRCh38_ERCC92_velo_CMdiff_d10_820_Z31-S5_J14;GRCh38;ERCC92;d10;820
GRCh38_ERCC92_velo_CMdiff_d10_820_Z31-S5_L20;GRCh38;ERCC92;d10;820
GRCh38_ERCC92_velo_CMdiff_d10_820_Z31-S5_O22;GRCh38;ERCC92;d10;820
GRCh38_ERCC92_velo_CMdiff_d10_820_Z31-S5_J6;GRCh38;ERCC92;d10;820
GRCh38_ERCC92_velo_CMdiff_d10_820_Z31-S5_G22;GRCh38;ERCC92;d10;820
GRCh38_ERCC92_velo_CMdiff_d10_820_Z31-S5_F21;GRCh38;ERCC92;d10;820
GRCh38_ERCC92_velo_CMdiff_d10_820_Z31-S5_E2;GRCh38;ERCC92;d10;820
GRCh38_ERCC92_velo_CMdiff_d10_820_Z31-S5_L16;GRCh38;ERCC92;d10;820
GRCh38_ERCC92_velo_CMdiff_d10_820_Z31-S5_G23;GRCh38;ERCC92;d10;820
GRCh38_ERCC92_velo_CMdiff_d10_820_Z31-S5_M10;GRCh38;ERCC92;d10;820
GRCh38_ERCC92_velo_CMdiff_d10_820_Z31-S5_K8;GRCh38;ERCC92;d10;820
GRCh38_ERCC92_velo_CMdiff_d10_820_Z31-S5_I12;GRCh38;ERCC92;d10;820
GRCh38_ERCC92_velo_CMdiff_d10_820_Z31-S5_M15;GRCh38;ERCC92;d10;820
GRCh38_ERCC92_velo_CMdiff_d10_820_Z31-S5_P7;GRCh38;ERCC92;d10;820
GRCh38_ERCC92_velo_CMdiff_d10_820_Z31-S5_I13;GRCh38;ERCC92;d10;820
GRCh38_ERCC92_velo_CMdiff_d10_820_Z31-S5_O21;GRCh38;ERCC92;d10;820
GRCh38_ERCC92_velo_CMdiff_d10_820_Z31-S5_O24;GRCh38;ERCC92;d10;820
